lmn , koppel , rtn , tgt , incident , pcfg-la , spacing , moshe , thrax , tra
translation , bleu , simplification , decoding , phrase-based , smt , decoder , mert , tree-to-string , alignment
npx , rcc , hittite , tesla-m , rrm , pre-annotation , cannonical , srt , kafka , lvcs
glsa , promodes , remedia , nucle , subsequential , base-phrase , weibo , cnoun , humsent , seismic
concretion , cbl , museum , painting , wasp , mrls , s-rules , commoncrawl , letter-based , kodiak
tina , voyager , tgl , excitation , lube , talker , icelandic , zue , nnf , addicter
irks , trindikit , suicide , termino , srn , efr , answer-bearing , banda , raduct , graphe
nuggets , nugget , tcm , wzy , rex , wzwz , dbpedia , profiler , wsm , namex
translation , lsa , urdu , transliteration , genetic , japanese , teaching , students , kernels , translators
kernels , kernel , classi , pseudowords , hfe , poets , poetry , non-native , aso , intonational
modality , sdrs , pse , hownet , cps , hvr , gate , timbl , haptic , persuasive
caller , clcs , asgre , appt , fdts , complementations , miteh , htmm , tacitus-lite , grif
fairy , csr , subword , drdas , nobel , subwords , drda , webclopedia , soul , ehr
cbc , tangora , holder , blog , blogs , twin-candidate , malvina , tcnl , single-candidate , pangloss
compositionality , cube , epoch , epochs , blog , vpc , knn , hyperedge , espresso , vpcs
lcfrs , comma , fan-out , np-c , fusion , regeneration , commas , reordering , translation , ceta
chooser , princess , pic , dragon , linguatronic , pels , pics , ctq , metonymical , typecraft
coreference , deception , clump , selsa , resolution , lrs , card-pyramid , hypergraph , plsr , intersective
umls , syl , handwriting , fes , srh , coders , korean , handwritten , language-encoding , xcalibur
ill , tile , terrorcat , exl , formemes , beliefs , aud , apl , inl , agents
rbm , poem , poems , fcrs , near-synonyms , mss , near-synonym , dsn , planner , boxer
hedge , bioscope , hedging , speculative , keywords , scopes , keyword , ollie , hole , faceted
qsr , ba-construction , xsel , pfa , wordnet-lmf , qur , avons , sequitur , vffi , syntaxique
tutor , dialog , tutoring , dialogue , student , tutorial , pomdp , students , lemon , markables
vcw , ffi , tss , ilex , tccs , hubs , dialog , eff , non-content , pseudoknots
wikipedia , document , keyphrases , entity , summarization , keyphrase , rouge , name , chinese , named
image , captions , humor , raskin , systemt , images , urn , responsiveness , aql , bds
alpino , rmrs , igt , ced , portage , ranta , genome , noord , eye-gaze , geppetto
translation , mbr , proc , nli , openfst , idiom , byrne , stimulus , metalanguage , pronominalization
mehdad , negri , metaphorical , rashmi , morph , msa , sentence-level , metaphor , alignment , freedict
sepa , mbma , subsequential , deliberation , cmc , nxt , subtopic , btd , intra-structure , proofing
tok , acb , multiling , wsa , wpg , entailment , trackers , bente , wsr , regressor
rdc , gaussians , mixture , ppm , inv , oov , riv , ctb , chinese , roov
aaaa , aaa , sfg , transcheck , idex , mwu , speaker-dependent , nes , revoicing , dplvm
iim , analysts , fffi , fio , nonnative , cfl , mfi , xzy , paru , dig
intex , telugu , thater , adjudicated , cvp , catibex , i-hmm , montoyo , multi-function , may-june
aaaa , aaa , pyramid , summarizers , responsiveness , fulltext , influenza , ffiy , fnwn , helpfulness
npk , pneumonia , vocabulary-independent , npj , clinical , egf , codes , chest , hanzi , wordview
fiffifl , kgd , voxels , schmitt , briefing , giga-fren , dentro , nc-value , coch , tipsem
genie , paktus , merlin , ipa , ssvm , fem , wsf , scus , wiktionary , voice-driven
rhyme , ccgs , non-referential , alembic , symbo , rhyming , sub-segments , nltk , non-causal , lexas
wizie , cardinality , uem , poc , pro-drop , soft , elves , castanet , nwire , impersonal
wtmf , tensor , qualia , tsg , citations , reiter , ion , telic , lexicalisation , mwv
atmosphere , fug , android , blast , dudes , baseball , apred , treealigner , habitat , iphone
translation , anaphora , sentiment , chinese , pronoun , discourse , dictionary , antecedent , character , pronouns
czeng , tectomt , keshet , cpe , passive-aggressive , nominals , bullying , crammer , dekel , srhs
stw , textrank , ripper , ghkm , bmmm , ugo , holmes , me-lda , maletti , lexpagerank
