0.001*lmn,0.001*koppel,0.001*rtn,0.001*tgt,0.001*incident,0.001*pcfg-la,0.001*spacing,0.001*moshe,0.001*thrax,0.001*tra
0.003*translation,0.002*bleu,0.002*simplification,0.001*decoding,0.001*phrase-based,0.001*smt,0.001*decoder,0.001*mert,0.001*tree-to-string,0.001*alignment
0.001*npx,0.001*rcc,0.001*hittite,0.001*tesla-m,0.001*rrm,0.001*pre-annotation,0.001*cannonical,0.001*srt,0.001*kafka,0.001*lvcs
0.001*glsa,0.001*promodes,0.001*remedia,0.001*nucle,0.001*subsequential,0.001*base-phrase,0.001*weibo,0.000*cnoun,0.000*humsent,0.000*seismic
0.001*concretion,0.001*cbl,0.001*museum,0.001*painting,0.001*wasp,0.001*mrls,0.001*s-rules,0.000*commoncrawl,0.000*letter-based,0.000*kodiak
0.001*tina,0.001*voyager,0.001*tgl,0.001*excitation,0.001*lube,0.001*talker,0.001*icelandic,0.001*zue,0.001*nnf,0.001*addicter
0.001*irks,0.001*trindikit,0.001*suicide,0.001*termino,0.001*srn,0.001*efr,0.000*answer-bearing,0.000*banda,0.000*raduct,0.000*graphe
0.001*nuggets,0.001*nugget,0.001*tcm,0.001*wzy,0.001*rex,0.001*wzwz,0.001*dbpedia,0.001*profiler,0.001*wsm,0.001*namex
0.001*translation,0.001*lsa,0.001*urdu,0.001*transliteration,0.001*genetic,0.001*japanese,0.001*teaching,0.001*students,0.001*kernels,0.001*translators
0.002*kernels,0.002*kernel,0.001*classi,0.001*pseudowords,0.001*hfe,0.001*poets,0.001*poetry,0.001*non-native,0.001*aso,0.001*intonational
0.001*modality,0.001*sdrs,0.001*pse,0.001*hownet,0.001*cps,0.001*hvr,0.001*gate,0.001*timbl,0.001*haptic,0.001*persuasive
0.001*caller,0.001*clcs,0.001*asgre,0.001*appt,0.001*fdts,0.001*complementations,0.000*miteh,0.000*htmm,0.000*tacitus-lite,0.000*grif
0.001*fairy,0.001*csr,0.001*subword,0.001*drdas,0.001*nobel,0.001*subwords,0.001*drda,0.001*webclopedia,0.001*soul,0.001*ehr
0.001*cbc,0.001*tangora,0.001*holder,0.001*blog,0.001*blogs,0.001*twin-candidate,0.001*malvina,0.001*tcnl,0.001*single-candidate,0.001*pangloss
0.001*compositionality,0.001*cube,0.001*epoch,0.001*epochs,0.001*blog,0.001*vpc,0.001*knn,0.001*hyperedge,0.001*espresso,0.001*vpcs
0.001*lcfrs,0.001*comma,0.001*fan-out,0.001*np-c,0.001*fusion,0.001*regeneration,0.001*commas,0.001*reordering,0.001*translation,0.001*ceta
0.001*chooser,0.001*princess,0.001*pic,0.001*dragon,0.001*linguatronic,0.001*pels,0.000*pics,0.000*ctq,0.000*metonymical,0.000*typecraft
0.001*coreference,0.001*deception,0.001*clump,0.001*selsa,0.001*resolution,0.001*lrs,0.001*card-pyramid,0.001*hypergraph,0.001*plsr,0.001*intersective
0.001*umls,0.001*syl,0.001*handwriting,0.001*fes,0.001*srh,0.001*coders,0.001*korean,0.001*handwritten,0.001*language-encoding,0.001*xcalibur
